dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.572864,3.842414,0.000059,0.002355,0.047108,0.942165,0.025548
0.050000,1.573439,3.842428,0.000634,0.011510,0.183096,2.719749,0.024397
0.050000,1.574733,3.842458,0.001929,0.025887,0.287541,2.088907,0.021808
0.050000,1.577032,3.842503,0.004228,0.045984,0.401941,2.288004,0.017210
0.050000,1.580619,3.842552,0.007816,0.071751,0.515324,2.267663,0.010035
0.050000,1.585830,3.842577,0.013027,0.104221,0.649411,2.681739,6.282911
0.050000,1.595698,3.842505,0.022895,0.197372,1.863024,24.272257,6.268941
0.050000,1.608533,3.842206,0.035734,0.256770,1.187961,-13.501275,6.250801
0.050000,1.624662,3.841500,0.051878,0.322882,1.322226,2.685304,6.228051
0.050000,1.644358,3.840139,0.071621,0.394864,1.439648,2.348454,6.200338
0.050000,1.667825,3.837800,0.095204,0.471653,1.535780,1.922627,6.167418
0.050000,1.695155,3.834091,0.122785,0.551625,1.599438,1.273166,6.129213
0.050000,1.726287,3.828564,0.154404,0.632374,1.614974,0.310720,6.085876
0.050000,1.760979,3.820755,0.189964,0.711203,1.576588,-0.767725,6.037829
0.050000,1.798818,3.810223,0.229240,0.785535,1.486649,-1.798787,5.985755
0.050000,1.839261,3.796588,0.271920,0.853600,1.361292,-2.507140,5.930542
0.050000,1.881440,3.779678,0.317363,0.908842,1.104830,-5.129230,5.873560
0.050000,1.924427,3.759521,0.364841,0.949575,0.814668,-5.803239,5.816278
0.050000,1.967395,3.736311,0.413677,0.976716,0.542824,-5.436884,5.760034
0.050000,2.009763,3.710304,0.463390,0.994261,0.350900,-3.838470,5.705821
0.050000,2.051094,3.681824,0.513584,1.003868,0.192129,-3.175428,5.654409
0.050000,2.091180,3.651150,0.564059,1.009514,0.112934,-1.583898,5.606220
0.050000,2.129915,3.618548,0.614688,1.012576,0.061241,-1.033858,5.561485
0.050000,2.167319,3.584214,0.665461,1.015451,0.057500,-0.074834,5.520224
0.050000,2.203482,3.548281,0.716441,1.019604,0.083054,0.511097,5.482322
0.050000,2.238521,3.510842,0.767719,1.025555,0.119009,0.719089,5.447597
0.050000,2.272567,3.471951,0.819407,1.033763,0.164173,0.903290,5.415825
0.050000,2.305754,3.431631,0.871628,1.044418,0.213088,0.978297,5.386759
0.050000,2.338202,3.389894,0.924494,1.057336,0.258358,0.905398,5.360163
0.050000,2.370032,3.346729,0.978125,1.072620,0.305693,0.946694,5.335798
0.050000,2.401351,3.302112,1.032638,1.090249,0.352572,0.937576,5.313445
0.050000,2.432255,3.256018,1.088133,1.109902,0.393070,0.809968,5.292901
0.050000,2.462824,3.208419,1.144702,1.131388,0.429715,0.732895,5.273988
0.050000,2.493125,3.159300,1.202416,1.154277,0.457779,0.561277,5.256546
0.050000,2.523217,3.108635,1.261344,1.178560,0.485670,0.557823,5.240431
0.050000,2.553165,3.056386,1.321567,1.204455,0.517900,0.644607,5.225508
0.050000,2.583014,3.002529,1.383143,1.231517,0.541241,0.466810,5.211665
0.050000,2.612793,2.947066,1.446094,1.259020,0.550055,0.176295,5.198805
0.050000,2.642551,2.889954,1.510494,1.287997,0.579527,0.589440,5.186832
0.050000,2.672319,2.831172,1.576384,1.317802,0.596119,0.331825,5.175667
0.050000,2.702114,2.770731,1.643770,1.347714,0.598241,0.042440,5.165242
0.050000,2.731973,2.708585,1.712716,1.378936,0.624436,0.523915,5.155490
0.050000,2.761912,2.644738,1.783235,1.410364,0.628555,0.082379,5.146355
0.050000,2.791950,2.579174,1.855352,1.442350,0.639725,0.223401,5.137788
0.050000,2.822111,2.511876,1.929100,1.474955,0.652098,0.247461,5.129742
0.050000,2.852402,2.442848,2.004481,1.507632,0.653542,0.028866,5.122178
0.050000,2.882846,2.372063,2.081536,1.541083,0.669005,0.309270,5.115058
0.050000,2.913449,2.299533,2.160258,1.574440,0.667147,-0.037157,5.108351
0.050000,2.944230,2.225234,2.240681,1.608458,0.680364,0.264343,5.102026
0.050000,2.975195,2.149170,2.322806,1.642507,0.680986,0.012429,5.096058
0.050000,3.006358,2.071333,2.406649,1.676860,0.687050,0.121283,5.090421
0.050000,3.037731,1.991709,2.492230,1.711627,0.695336,0.165720,5.085094
0.050000,3.069314,1.910317,2.579536,1.746116,0.689782,-0.111077,5.080058
0.050000,3.101126,1.827130,2.668598,1.781239,0.702460,0.253556,5.075295
0.050000,3.133174,1.742148,2.759422,1.816477,0.704764,0.046086,5.070787
0.050000,3.165460,1.655385,2.851997,1.851503,0.700527,-0.084743,5.066522
0.050000,3.197998,1.566824,2.946347,1.886995,0.709838,0.186217,5.062484
0.050000,3.230794,1.476462,3.042476,1.922585,0.711791,0.039052,5.058662
0.050000,3.263856,1.384300,3.140389,1.958259,0.713473,0.033647,5.055044
0.050000,3.297191,1.290340,3.240087,1.993959,0.714015,0.010847,5.051621
0.050000,3.330805,1.194582,3.341573,2.029724,0.715290,0.025498,5.048383
0.050000,3.364707,1.097022,3.444856,2.065666,0.718853,0.071250,5.045323
0.050000,3.398905,0.997658,3.549940,2.101675,0.720167,0.026285,5.042431
0.050000,3.433405,0.896492,3.656827,2.137746,0.721424,0.025135,5.039702
0.050000,3.468216,0.793523,3.765521,2.173877,0.722626,0.024041,5.037129
0.050000,3.503345,0.688752,3.876025,2.210066,0.723773,0.022953,5.034706
0.050000,3.538800,0.582180,3.988340,2.246309,0.724864,0.021819,5.032429
0.050000,3.574589,0.473806,4.102470,2.282594,0.725705,0.016818,5.030294
0.050000,3.610718,0.363638,4.218411,2.318822,0.724543,-0.023244,5.028295
0.050000,3.647197,0.251671,4.336171,2.355195,0.727468,0.058493,5.026431
0.050000,3.684036,0.137906,4.455751,2.391612,0.728337,0.017392,5.024697
0.050000,3.721244,0.022346,4.577154,2.428059,0.728937,0.011986,5.023091
0.050000,3.758827,-0.095001,4.700372,2.464365,0.726131,-0.056116,5.021613
0.050000,3.796798,-0.214140,4.825416,2.500881,0.730311,0.083604,5.020259
0.050000,3.835166,-0.335065,4.952282,2.537302,0.728421,-0.037797,5.019029
0.050000,3.873942,-0.457772,5.080970,2.573768,0.729330,0.018180,5.017922
0.050000,3.913137,-0.582258,5.211480,2.610204,0.728719,-0.012218,5.016939
0.050000,3.952764,-0.708520,5.343815,2.646698,0.729873,0.023076,5.016079
0.050000,3.992833,-0.836550,5.477969,2.683076,0.727569,-0.046077,5.015345
0.050000,4.033360,-0.966347,5.613945,2.719525,0.728965,0.027905,5.014736
0.050000,4.074357,-1.097903,5.751742,2.755935,0.728209,-0.015110,5.014256
0.050000,4.115841,-1.231214,5.891357,2.792308,0.727465,-0.014883,5.013907
0.050000,4.157826,-1.366270,6.032790,2.828645,0.726725,-0.014802,5.013693
0.050000,4.200330,-1.503066,6.176037,2.864940,0.725914,-0.016224,5.013618
0.050000,4.243371,-1.641593,6.321096,2.901187,0.724940,-0.019477,5.013687
0.050000,4.286970,-1.781841,6.467965,2.937372,0.723692,-0.024963,5.013907
0.050000,4.331146,-1.923800,6.616638,2.973474,0.722033,-0.033164,5.014284
0.050000,4.375924,-2.067459,6.767114,3.009510,0.720727,-0.026130,5.014827
0.050000,4.421328,-2.212803,6.919385,3.045434,0.718481,-0.044927,5.015546
0.050000,4.467385,-2.359820,7.073448,3.081243,0.716172,-0.046170,5.016453
0.050000,4.514125,-2.508490,7.229291,3.116875,0.712653,-0.070371,5.017562
0.050000,4.561581,-2.658798,7.386914,3.152444,0.711375,-0.025575,5.018888
0.050000,4.609788,-2.810721,7.546301,3.187750,0.706122,-0.105052,5.020451
0.050000,4.658784,-2.964233,7.707443,3.222830,0.701599,-0.090453,5.022272
0.050000,4.708615,-3.119306,7.870325,3.257649,0.696378,-0.104431,5.024379
0.050000,4.759329,-3.275912,8.034938,3.292255,0.692115,-0.085249,5.026803
0.050000,4.810978,-3.434003,8.201251,3.326276,0.680418,-0.233953,5.029580
0.050000,4.863627,-3.593544,8.369256,3.360090,0.676282,-0.082710,5.032758
0.050000,4.917341,-3.754475,8.538915,3.393171,0.661625,-0.293151,5.036391
