dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.585636,3.342577,0.000059,0.002355,0.047108,0.942165,0.025548
0.050000,1.585636,3.342577,0.000294,0.007066,0.094217,0.942165,0.024397
0.050000,1.585636,3.342577,0.000824,0.014132,0.141325,0.942165,0.021808
0.050000,1.585636,3.342577,0.001767,0.023554,0.188433,0.942165,0.017210
0.050000,1.585636,3.342577,0.003239,0.035331,0.235541,0.942165,0.010035
0.050000,1.585693,3.342577,0.005359,0.049464,0.282650,0.942165,6.282911
0.050000,1.588576,3.342556,0.008244,0.065952,0.329758,0.942165,6.268941
0.050000,1.592344,3.342468,0.012013,0.084795,0.376866,0.942165,6.250801
0.050000,1.597109,3.342260,0.016782,0.105994,0.423974,0.942165,6.228051
0.050000,1.602982,3.341854,0.022671,0.129548,0.471083,0.942165,6.200338
0.050000,1.610070,3.341147,0.029796,0.155457,0.518191,0.942165,6.167418
0.050000,1.618473,3.340006,0.038275,0.183722,0.565299,0.942165,6.129213
0.050000,1.628272,3.338265,0.048227,0.214343,0.612407,0.942165,6.085876
0.050000,1.639528,3.335730,0.059769,0.247318,0.659516,0.942165,6.037829
0.050000,1.652285,3.332177,0.073018,0.282650,0.706624,0.942165,5.985755
0.050000,1.666571,3.327357,0.088092,0.320336,0.753732,0.942165,5.930542
0.050000,1.682307,3.321043,0.105051,0.358023,0.753732,-0.000000,5.873560
0.050000,1.699364,3.313038,0.123895,0.395709,0.753732,0.000000,5.816278
0.050000,1.717589,3.303186,0.144622,0.433396,0.753732,0.000000,5.760034
0.050000,1.736854,3.291352,0.167234,0.471083,0.753732,-0.000000,5.705821
0.050000,1.757016,3.277450,0.191731,0.508769,0.753732,0.000000,5.654409
0.050000,1.777965,3.261411,0.218111,0.546456,0.753732,-0.000000,5.606220
0.050000,1.799584,3.243206,0.246376,0.584142,0.753732,0.000000,5.561485
0.050000,1.821786,3.222818,0.276525,0.621829,0.753732,0.000000,5.520224
0.050000,1.844503,3.200237,0.308559,0.659516,0.753732,-0.000000,5.482322
0.050000,1.867676,3.175471,0.342477,0.697202,0.753732,0.000000,5.447597
0.050000,1.891255,3.148530,0.378279,0.734889,0.753732,0.000000,5.415825
0.050000,1.915203,3.119428,0.415966,0.772575,0.753732,-0.000000,5.386759
0.050000,1.939488,3.088188,0.455537,0.810262,0.753732,0.000000,5.360163
0.050000,1.964085,3.054826,0.496992,0.847949,0.753732,0.000000,5.335798
0.050000,1.988982,3.019356,0.540332,0.885635,0.753732,-0.000000,5.313445
0.050000,2.014164,2.981792,0.585556,0.923322,0.753732,0.000000,5.292901
0.050000,2.039622,2.942149,0.632664,0.961008,0.753732,-0.000000,5.273988
