dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.598409,2.842740,0.000059,0.002355,0.047108,0.942165,0.025548
0.050000,1.597833,2.842726,0.000634,0.011510,0.183096,2.719749,0.024397
0.050000,1.596539,2.842696,0.001929,0.025887,0.287541,2.088907,0.021808
0.050000,1.594241,2.842651,0.004228,0.045984,0.401941,2.288004,0.017210
0.050000,1.590653,2.842602,0.007816,0.071751,0.515324,2.267663,0.010035
0.050000,1.585555,2.842577,0.012914,0.101960,0.604191,1.777326,6.282911
0.050000,1.581454,2.842607,0.017015,0.082022,-0.398757,-20.058957,6.268941
0.050000,1.576154,2.842730,0.022316,0.106033,0.480220,17.579537,6.250801
0.050000,1.569556,2.843019,0.028921,0.132098,0.521290,0.821409,6.228051
0.050000,1.561606,2.843568,0.036890,0.159378,0.545598,0.486163,6.200338
0.050000,1.552316,2.844494,0.046226,0.186714,0.546734,0.022706,6.167418
0.050000,1.541790,2.845921,0.056848,0.212441,0.514539,-0.643894,6.129213
0.050000,1.530256,2.847967,0.068562,0.234290,0.436970,-1.551381,6.085876
0.050000,1.518077,2.850705,0.081045,0.249645,0.307097,-2.597460,6.037829
0.050000,1.505753,2.854130,0.093836,0.255830,0.123716,-3.667622,5.985755
0.050000,1.493881,2.858125,0.106362,0.250525,-0.106107,-4.596446,5.930542
0.050000,1.483174,2.862408,0.117894,0.230632,-0.397864,-5.835154,5.873560
0.050000,1.474300,2.866556,0.127690,0.195913,-0.694384,-5.930393,5.816278
0.050000,1.467782,2.870062,0.135090,0.148018,-0.957891,-5.270146,5.760034
0.050000,1.463946,2.872400,0.139583,0.089855,-1.163265,-4.107472,5.705821
0.050000,1.462939,2.873076,0.140796,0.024263,-1.311844,-2.971589,5.654409
0.050000,1.464749,2.871672,0.143087,0.045819,0.431136,34.859596,5.606220
0.050000,1.469253,2.867864,0.148985,0.117954,1.442699,20.231272,5.561485
0.050000,1.476254,2.861421,0.158499,0.190285,1.446620,0.078417,5.520224
0.050000,1.485525,2.852194,0.171580,0.261610,1.426490,-0.402600,5.482322
0.050000,1.496830,2.840100,0.188135,0.331101,1.389825,-0.733310,5.447597
0.050000,1.509943,2.825109,0.208051,0.398332,1.344621,-0.904061,5.415825
0.050000,1.524653,2.807225,0.231208,0.463136,1.296072,-0.970983,5.386759
0.050000,1.540773,2.786482,0.257479,0.525413,1.245548,-1.010486,5.360163
0.050000,1.558139,2.762923,0.286746,0.585346,1.198666,-0.937642,5.335798
0.050000,1.576612,2.736599,0.318905,0.643183,1.156739,-0.838531,5.313445
0.050000,1.596073,2.707565,0.353858,0.699047,1.117272,-0.789337,5.292901
0.050000,1.616419,2.675879,0.391514,0.753128,1.081624,-0.712960,5.273988
0.050000,1.637561,2.641602,0.431786,0.805440,1.046236,-0.707778,5.256546
0.050000,1.659422,2.604792,0.474599,0.856253,1.016258,-0.599545,5.240431
0.050000,1.681947,2.565489,0.519899,0.906011,0.995164,-0.421894,5.225508
0.050000,1.705085,2.523739,0.567632,0.954653,0.972839,-0.446501,5.211665
0.050000,1.728779,2.479606,0.617723,1.001826,0.943449,-0.587789,5.198805
0.050000,1.753003,2.433111,0.670150,1.048544,0.934368,-0.181621,5.186832
0.050000,1.777727,2.384289,0.724875,1.094494,0.918998,-0.307409,5.175667
0.050000,1.802911,2.333198,0.781836,1.139223,0.894581,-0.488334,5.165242
0.050000,1.828546,2.279842,0.841031,1.183885,0.893249,-0.026630,5.155490
0.050000,1.854606,2.224265,0.902414,1.227677,0.875829,-0.348399,5.146355
0.050000,1.881076,2.166490,0.965965,1.271007,0.866605,-0.184492,5.137788
0.050000,1.907946,2.106533,1.031666,1.314033,0.860524,-0.121626,5.129742
0.050000,1.935197,2.044432,1.099484,1.356356,0.846463,-0.281201,5.122178
0.050000,1.962828,1.980187,1.169418,1.398684,0.846547,0.001676,5.115058
0.050000,1.990823,1.913837,1.241434,1.440302,0.832373,-0.283494,5.108351
0.050000,2.019183,1.845381,1.315532,1.481960,0.833154,0.015639,5.102026
0.050000,2.047898,1.774845,1.391688,1.523136,0.823513,-0.192833,5.096058
0.050000,2.076965,1.702241,1.469895,1.564128,0.819845,-0.073357,5.090421
0.050000,2.106385,1.627573,1.550149,1.605087,0.819180,-0.013303,5.085094
0.050000,2.136147,1.550875,1.632419,1.645402,0.806306,-0.257470,5.080058
0.050000,2.166257,1.472138,1.716718,1.685966,0.811277,0.099418,5.075295
0.050000,2.196715,1.391374,1.803034,1.726324,0.807158,-0.082381,5.070787
0.050000,2.227513,1.308609,1.891343,1.766191,0.797348,-0.196206,5.066522
0.050000,2.258657,1.223837,1.981655,1.806239,0.800956,0.072163,5.062484
0.050000,2.290150,1.137068,2.073962,1.846142,0.798047,-0.058173,5.058662
0.050000,2.321990,1.048311,2.168258,1.885907,0.795302,-0.054898,5.055044
0.050000,2.354180,0.957577,2.264533,1.925499,0.791843,-0.069192,5.051621
0.050000,2.386722,0.864874,2.362781,1.964971,0.789440,-0.048058,5.048383
0.050000,2.419619,0.770205,2.463004,2.004450,0.789587,0.002945,5.045323
0.050000,2.452876,0.673575,2.565196,2.043844,0.787869,-0.034367,5.042431
0.050000,2.486496,0.574992,2.669354,2.083163,0.786376,-0.029850,5.039702
0.050000,2.520483,0.474461,2.775475,2.122417,0.785094,-0.025654,5.037129
0.050000,2.554841,0.371987,2.883556,2.161617,0.784005,-0.021780,5.034706
0.050000,2.589577,0.267575,2.993594,2.200772,0.783093,-0.018235,5.032429
0.050000,2.624696,0.161229,3.105588,2.239880,0.782156,-0.018729,5.030294
0.050000,2.660202,0.052960,3.219531,2.278853,0.779460,-0.053937,5.028295
0.050000,2.696104,-0.057234,3.335426,2.317902,0.780979,0.030380,5.026431
0.050000,2.732409,-0.169349,3.453273,2.356936,0.780679,-0.006002,5.024697
0.050000,2.769124,-0.283382,3.573070,2.395951,0.780303,-0.007508,5.023091
0.050000,2.806256,-0.399320,3.694810,2.434788,0.776749,-0.071076,5.021613
0.050000,2.843817,-0.517170,3.818500,2.473802,0.780281,0.070640,5.020259
0.050000,2.881813,-0.636921,3.944135,2.512703,0.778004,-0.045549,5.019029
0.050000,2.920255,-0.758574,4.071717,2.551637,0.778683,0.013590,5.017922
0.050000,2.959155,-0.882121,4.201244,2.590539,0.778052,-0.012625,5.016939
0.050000,2.998524,-1.007564,4.332719,2.629508,0.779375,0.026450,5.016079
0.050000,3.038374,-1.134893,4.466138,2.668382,0.777474,-0.038016,5.015345
0.050000,3.078720,-1.264109,4.601506,2.707356,0.779474,0.039997,5.014736
0.050000,3.119574,-1.395207,4.738823,2.746334,0.779577,0.002061,5.014256
0.050000,3.160954,-1.528184,4.878090,2.785332,0.779950,0.007473,5.013907
0.050000,3.202876,-1.663036,5.019308,2.824363,0.780612,0.013236,5.013693
0.050000,3.245357,-1.799760,5.162480,2.863438,0.781517,0.018098,5.013618
0.050000,3.288419,-1.938353,5.307608,2.902569,0.782610,0.021850,5.013687
0.050000,3.332083,-2.078811,5.454696,2.941760,0.783821,0.024232,5.013907
0.050000,3.376371,-2.221130,5.603747,2.981013,0.785068,0.024934,5.014284
0.050000,3.421311,-2.365307,5.754765,3.020372,0.787177,0.042192,5.014827
0.050000,3.466929,-2.511338,5.907756,3.059819,0.788933,0.035110,5.015546
0.050000,3.513258,-2.659220,6.062725,3.099384,0.791310,0.047533,5.016453
0.050000,3.560330,-2.808948,6.219678,3.139048,0.793270,0.039208,5.017562
0.050000,3.608185,-2.960521,6.378626,3.178970,0.798436,0.103321,5.018888
0.050000,3.656865,-3.113933,6.539577,3.219006,0.800730,0.045876,5.020451
0.050000,3.706415,-3.269181,6.702540,3.259262,0.805117,0.087750,5.022272
0.050000,3.756890,-3.426259,6.867529,3.299785,0.810452,0.106693,5.024379
0.050000,3.808351,-3.585171,7.034565,3.340724,0.818794,0.166831,5.026803
0.050000,3.860863,-3.745902,7.203657,3.381830,0.822106,0.066240,5.029580
