dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.174008,5.641527,0.000060,0.002398,0.047964,0.959270,6.280712
0.050000,0.173948,5.641528,0.000120,0.001192,-0.024117,-1.441605,6.280831
0.050000,0.173814,5.641528,0.000254,0.002682,0.029800,1.078327,6.281099
0.050000,0.173576,5.641528,0.000492,0.004767,0.041695,0.237901,6.281576
0.050000,0.173204,5.641529,0.000864,0.007445,0.053552,0.237138,6.282321
0.050000,0.173084,5.641529,0.000984,0.002388,-0.101131,-3.093654,0.000206
0.050000,0.175294,5.641531,0.003193,0.044191,0.836060,18.743821,0.001663
0.050000,0.178181,5.641539,0.006080,0.057741,0.271003,-11.301141,0.003563
0.050000,0.181792,5.641556,0.009691,0.072215,0.289475,0.369448,0.005934
0.050000,0.186127,5.641588,0.014027,0.086716,0.290019,0.010868,0.008774
0.050000,0.191189,5.641640,0.019089,0.101248,0.290639,0.012406,0.012079
0.050000,0.196980,5.641721,0.024880,0.115822,0.291492,0.017061,0.015845
0.050000,0.203501,5.641838,0.031402,0.130438,0.292315,0.016454,0.020068
0.050000,0.210754,5.642001,0.038658,0.145110,0.293437,0.022448,0.024742
0.050000,0.218744,5.642219,0.046650,0.159843,0.294668,0.024612,0.029862
0.050000,0.227471,5.642504,0.055382,0.174645,0.296027,0.027191,0.035420
0.050000,0.236940,5.642868,0.064858,0.189522,0.297537,0.030203,0.041409
0.050000,0.247155,5.643324,0.075083,0.204490,0.299358,0.036420,0.047819
0.050000,0.258118,5.643886,0.086060,0.219552,0.301245,0.037721,0.054642
0.050000,0.269834,5.644570,0.097796,0.234723,0.303414,0.043398,0.061866
0.050000,0.282308,5.645390,0.110297,0.250011,0.305776,0.047229,0.069480
0.050000,0.295543,5.646365,0.123569,0.265430,0.308377,0.052024,0.077471
0.050000,0.309546,5.647510,0.137618,0.280991,0.311207,0.056606,0.085824
0.050000,0.324321,5.648847,0.152453,0.296704,0.314275,0.061356,0.094524
0.050000,0.339874,5.650392,0.168082,0.312583,0.317582,0.066144,0.103555
0.050000,0.356209,5.652167,0.184515,0.328641,0.321148,0.071310,0.112899
0.050000,0.373334,5.654193,0.201759,0.344889,0.324957,0.076190,0.122536
0.050000,0.391255,5.656490,0.219826,0.361339,0.329015,0.081148,0.132447
0.050000,0.409976,5.659082,0.238726,0.378004,0.333298,0.085664,0.142610
0.050000,0.429506,5.661990,0.258471,0.394896,0.337836,0.090758,0.153002
0.050000,0.449850,5.665238,0.279072,0.412026,0.342589,0.095057,0.163600
0.050000,0.471014,5.668849,0.300542,0.429402,0.347533,0.098891,0.174379
0.050000,0.493005,5.672848,0.322894,0.447037,0.352687,0.103067,0.185312
0.050000,0.515830,5.677258,0.346141,0.464937,0.358014,0.106547,0.196374
0.050000,0.539494,5.682104,0.370297,0.483112,0.363504,0.109803,0.207538
0.050000,0.564005,5.687410,0.395375,0.501568,0.369104,0.112003,0.218774
0.050000,0.589368,5.693200,0.421391,0.520310,0.374842,0.114759,0.230054
0.050000,0.615589,5.699499,0.448358,0.539341,0.380622,0.115599,0.241350
0.050000,0.642674,5.706329,0.476291,0.558666,0.386506,0.117684,0.252632
0.050000,0.670630,5.713715,0.505205,0.578284,0.392356,0.116999,0.263871
0.050000,0.699460,5.721678,0.535115,0.598200,0.398314,0.119148,0.275037
0.050000,0.729171,5.730241,0.566036,0.618410,0.404207,0.117870,0.286100
0.050000,0.759768,5.739425,0.597981,0.638910,0.409996,0.115769,0.297032
0.050000,0.791256,5.749250,0.630966,0.659703,0.415854,0.117165,0.307803
0.050000,0.823639,5.759736,0.665005,0.680780,0.421544,0.113795,0.318385
0.050000,0.856924,5.770900,0.700112,0.702141,0.427225,0.113621,0.328749
0.050000,0.891115,5.782758,0.736301,0.723778,0.432735,0.110216,0.338868
0.050000,0.926217,5.795327,0.773585,0.745687,0.438185,0.108998,0.348715
0.050000,0.962236,5.808620,0.811979,0.767866,0.443572,0.107729,0.358263
0.050000,0.999177,5.822648,0.851494,0.790298,0.448638,0.101319,0.367485
0.050000,1.037047,5.837422,0.892143,0.812995,0.453945,0.106149,0.376357
0.050000,1.075852,5.852951,0.933940,0.835940,0.458904,0.099169,0.384853
0.050000,1.115600,5.869241,0.976897,0.859131,0.463826,0.098442,0.392948
0.050000,1.156299,5.886297,1.021025,0.882567,0.468725,0.097983,0.400618
0.050000,1.197958,5.904121,1.066338,0.906248,0.473615,0.097798,0.407838
0.050000,1.240589,5.922713,1.112846,0.930169,0.478425,0.096194,0.414585
0.050000,1.284202,5.942073,1.160563,0.954332,0.483247,0.096451,0.420835
0.050000,1.328810,5.962195,1.209500,0.978736,0.488085,0.096749,0.426562
0.050000,1.374429,5.983073,1.259669,1.003390,0.493079,0.099893,0.431743
0.050000,1.421075,6.004698,1.311084,1.028297,0.498131,0.101038,0.436351
0.050000,1.468766,6.027058,1.363757,1.053460,0.503278,0.102943,0.440362
0.050000,1.517524,6.050139,1.417702,1.078898,0.508755,0.109531,0.443748
0.050000,1.567372,6.073922,1.472933,1.104616,0.514357,0.112038,0.446480
0.050000,1.618336,6.098387,1.529464,1.130633,0.520332,0.119502,0.448529
0.050000,1.670443,6.123511,1.587312,1.156964,0.526619,0.125743,0.449864
0.050000,1.723727,6.149264,1.646494,1.183630,0.533334,0.134301,0.450450
0.050000,1.778223,6.175617,1.707027,1.210656,0.540519,0.143696,0.450253
0.050000,1.833969,6.202532,1.768930,1.238069,0.548265,0.154917,0.449232
0.050000,1.891008,6.229970,1.832225,1.265899,0.556599,0.166692,0.447348
0.050000,1.949386,6.257884,1.896934,1.294181,0.565639,0.180799,0.444553
0.050000,2.009156,6.286224,1.963082,1.322954,0.575447,0.196163,0.440800
0.050000,2.070372,6.314930,2.030695,1.352257,0.586069,0.212441,0.436035
