dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.172771,5.141529,0.000060,0.002398,0.047964,0.959270,6.280712
0.050000,0.172771,5.141529,0.000300,0.007195,0.095927,0.959270,6.280831
0.050000,0.172771,5.141529,0.000839,0.014389,0.143891,0.959270,6.281099
0.050000,0.172771,5.141529,0.001799,0.023982,0.191854,0.959270,6.281576
0.050000,0.172771,5.141529,0.003297,0.035973,0.239818,0.959270,6.282321
0.050000,0.173187,5.141529,0.005456,0.050362,0.287781,0.959270,0.000206
0.050000,0.176125,5.141532,0.008394,0.067149,0.335745,0.959270,0.001663
0.050000,0.179962,5.141542,0.012231,0.086334,0.383708,0.959270,0.003563
0.050000,0.184759,5.141565,0.017027,0.105520,0.383708,0.000000,0.005934
0.050000,0.190514,5.141607,0.022783,0.124705,0.383708,0.000000,0.008774
0.050000,0.197229,5.141677,0.029498,0.143891,0.383708,-0.000000,0.012079
0.050000,0.204902,5.141784,0.037172,0.163076,0.383708,0.000000,0.015845
0.050000,0.213534,5.141939,0.045805,0.182261,0.383708,-0.000000,0.020068
0.050000,0.223124,5.142154,0.055398,0.201447,0.383708,0.000000,0.024742
0.050000,0.233672,5.142442,0.065950,0.220632,0.383708,0.000000,0.029862
0.050000,0.245177,5.142818,0.077461,0.239818,0.383708,-0.000000,0.035420
0.050000,0.257639,5.143297,0.089932,0.259003,0.383708,0.000000,0.041409
0.050000,0.271055,5.143896,0.103361,0.278188,0.383708,-0.000000,0.047819
0.050000,0.285425,5.144633,0.117750,0.297374,0.383708,0.000000,0.054642
0.050000,0.300747,5.145526,0.133099,0.316559,0.383708,0.000000,0.061866
0.050000,0.317020,5.146597,0.149406,0.335745,0.383708,-0.000000,0.069480
0.050000,0.334240,5.147864,0.166673,0.354930,0.383708,0.000000,0.077471
0.050000,0.352405,5.149351,0.184899,0.374115,0.383708,0.000000,0.085824
0.050000,0.371513,5.151079,0.204085,0.393301,0.383708,-0.000000,0.094524
0.050000,0.391559,5.153071,0.224229,0.412486,0.383708,0.000000,0.103555
0.050000,0.412539,5.155350,0.245333,0.431672,0.383708,0.000000,0.112899
0.050000,0.434449,5.157942,0.267397,0.450857,0.383708,-0.000000,0.122536
0.050000,0.457285,5.160869,0.290419,0.470042,0.383708,0.000000,0.132447
0.050000,0.481040,5.164157,0.314401,0.489228,0.383708,0.000000,0.142610
0.050000,0.505709,5.167831,0.339342,0.508413,0.383708,0.000000,0.153002
0.050000,0.531285,5.171914,0.365242,0.527599,0.383708,0.000000,0.163600
0.050000,0.557762,5.176432,0.392102,0.546784,0.383708,-0.000000,0.174379
0.050000,0.585132,5.181409,0.419921,0.565969,0.383708,0.000000,0.185312
0.050000,0.613387,5.186868,0.448699,0.585155,0.383708,0.000000,0.196374
0.050000,0.642520,5.192834,0.478436,0.604340,0.383708,0.000000,0.207538
0.050000,0.672521,5.199328,0.509133,0.623526,0.383708,0.000000,0.218774
0.050000,0.703383,5.206373,0.540789,0.642711,0.383708,0.000000,0.230054
0.050000,0.735096,5.213991,0.573404,0.661896,0.383708,-0.000000,0.241350
0.050000,0.767651,5.222200,0.606978,0.681082,0.383708,0.000000,0.252632
0.050000,0.801039,5.231021,0.641512,0.700267,0.383708,0.000000,0.263871
0.050000,0.835251,5.240470,0.677005,0.719453,0.383708,0.000000,0.275037
0.050000,0.870278,5.250565,0.713457,0.738638,0.383708,0.000000,0.286100
0.050000,0.906110,5.261320,0.750869,0.757823,0.383708,0.000000,0.297032
