dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.171535,4.641530,0.000060,0.002398,0.047964,0.959270,6.280712
0.050000,0.171594,4.641530,0.000120,0.001192,-0.024117,-1.441605,6.280831
0.050000,0.171728,4.641530,0.000254,0.002682,0.029800,1.078327,6.281099
0.050000,0.171967,4.641530,0.000492,0.004767,0.041695,0.237901,6.281576
0.050000,0.172339,4.641529,0.000864,0.007445,0.053552,0.237138,6.282321
0.050000,0.173291,4.641529,0.001816,0.019036,0.231834,3.565654,0.000206
0.050000,0.176957,4.641532,0.005482,0.073324,1.085746,17.078225,0.001663
0.050000,0.181744,4.641545,0.010269,0.095742,0.448375,-12.747410,0.003563
0.050000,0.187726,4.641573,0.016251,0.119638,0.477922,0.590942,0.005934
0.050000,0.194901,4.641626,0.023427,0.143509,0.477409,-0.010268,0.008774
0.050000,0.203268,4.641713,0.031794,0.167344,0.476703,-0.014114,0.012079
0.050000,0.212824,4.641847,0.041351,0.191146,0.476043,-0.013196,0.015845
0.050000,0.223567,4.642040,0.052096,0.214895,0.474973,-0.021405,0.020068
0.050000,0.235494,4.642307,0.064026,0.238596,0.474013,-0.019205,0.024742
0.050000,0.248601,4.642665,0.077138,0.262237,0.472820,-0.023850,0.029862
0.050000,0.262884,4.643131,0.091428,0.285807,0.471403,-0.028351,0.035420
0.050000,0.278337,4.643725,0.106893,0.309295,0.469768,-0.032691,0.041409
0.050000,0.294956,4.644467,0.123528,0.332703,0.468149,-0.032380,0.047819
0.050000,0.312733,4.645379,0.141328,0.356008,0.466117,-0.040654,0.054642
0.050000,0.331661,4.646483,0.160289,0.379208,0.463999,-0.042343,0.061866
0.050000,0.351732,4.647803,0.180403,0.402289,0.461622,-0.047550,0.069480
0.050000,0.372937,4.649364,0.201665,0.425241,0.459039,-0.051661,0.077471
0.050000,0.395265,4.651191,0.224068,0.448052,0.456213,-0.056518,0.085824
0.050000,0.418704,4.653311,0.247603,0.470709,0.453142,-0.061426,0.094524
0.050000,0.443244,4.655749,0.272263,0.493200,0.449817,-0.066502,0.103555
0.050000,0.468868,4.658534,0.298039,0.515513,0.446261,-0.071102,0.112899
0.050000,0.495564,4.661691,0.324921,0.537636,0.442453,-0.076167,0.122536
0.050000,0.523315,4.665249,0.352898,0.559556,0.438404,-0.080988,0.132447
