dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.207967,5.640289,0.000058,0.002337,0.046734,0.934673,6.212735
0.050000,0.208004,5.640286,0.000095,0.000738,-0.031968,-1.574034,6.212661
0.050000,0.208087,5.640280,0.000178,0.001660,0.018443,1.008219,6.212495
0.050000,0.208234,5.640270,0.000326,0.002949,0.025781,0.146756,6.212200
0.050000,0.209242,5.640198,0.001337,0.020220,0.345410,6.392596,6.211740
0.050000,0.211670,5.640023,0.003771,0.048675,0.569091,4.473605,6.211079
0.050000,0.214972,5.639783,0.007082,0.066227,0.351043,-4.360957,6.210181
0.050000,0.219284,5.639465,0.011405,0.086457,0.404602,1.071179,6.209012
0.050000,0.224669,5.639061,0.016805,0.108002,0.430907,0.526112,6.207559
0.050000,0.231125,5.638566,0.023280,0.129501,0.429982,-0.018517,6.205825
0.050000,0.238649,5.637976,0.030827,0.150945,0.428873,-0.022166,6.203816
0.050000,0.247237,5.637283,0.039443,0.172323,0.427573,-0.026013,6.201538
0.050000,0.256885,5.636481,0.049125,0.193628,0.426085,-0.029749,6.199000
0.050000,0.267588,5.635563,0.059867,0.214848,0.424400,-0.033694,6.196208
0.050000,0.279341,5.634520,0.071666,0.235974,0.422527,-0.037465,6.193174
0.050000,0.292137,5.633344,0.084516,0.256997,0.420455,-0.041454,6.189906
0.050000,0.305969,5.632025,0.098411,0.277906,0.418190,-0.045300,6.186417
0.050000,0.320831,5.630555,0.113346,0.298693,0.415724,-0.049305,6.182718
0.050000,0.336715,5.628922,0.129313,0.319346,0.413062,-0.053252,6.178824
0.050000,0.353612,5.627118,0.146306,0.339856,0.410201,-0.057209,6.174748
0.050000,0.371512,5.625130,0.164316,0.360213,0.407143,-0.061155,6.170506
0.050000,0.390407,5.622950,0.183337,0.380407,0.403887,-0.065138,6.166113
0.050000,0.410286,5.620566,0.203358,0.400429,0.400436,-0.069007,6.161588
0.050000,0.431139,5.617969,0.224372,0.420268,0.396789,-0.072951,6.156948
0.050000,0.452953,5.615147,0.246367,0.439916,0.392953,-0.076715,6.152212
0.050000,0.475717,5.612093,0.269335,0.459362,0.388924,-0.080581,6.147402
0.050000,0.499418,5.608796,0.293265,0.478598,0.384715,-0.084182,6.142537
0.050000,0.524045,5.605247,0.318146,0.497614,0.380316,-0.087970,6.137640
0.050000,0.549583,5.601439,0.343966,0.516401,0.375750,-0.091321,6.132733
0.050000,0.576018,5.597365,0.370714,0.534951,0.370997,-0.095054,6.127841
0.050000,0.603337,5.593018,0.398376,0.553255,0.366083,-0.098296,6.122987
0.050000,0.631526,5.588394,0.426942,0.571306,0.361009,-0.101466,6.118199
0.050000,0.660569,5.583487,0.456396,0.589094,0.355759,-0.104998,6.113500
0.050000,0.690452,5.578296,0.486727,0.606612,0.350365,-0.107897,6.108919
0.050000,0.721160,5.572819,0.517920,0.623853,0.344811,-0.111075,6.104484
0.050000,0.752678,5.567056,0.549960,0.640808,0.339106,-0.114088,6.100222
0.050000,0.784990,5.561008,0.582834,0.657470,0.333244,-0.117256,6.096163
0.050000,0.818082,5.554679,0.616525,0.673832,0.327240,-0.120075,6.092338
0.050000,0.851938,5.548075,0.651019,0.689886,0.321079,-0.123224,6.088776
0.050000,0.886543,5.541201,0.686301,0.705624,0.314756,-0.126461,6.085510
0.050000,0.921882,5.534068,0.722353,0.721038,0.308284,-0.129432,6.082572
0.050000,0.957940,5.526686,0.759159,0.736120,0.301635,-0.132976,6.079995
0.050000,0.994703,5.519068,0.796702,0.750861,0.294819,-0.136330,6.077814
0.050000,1.032154,5.511231,0.834964,0.765251,0.287812,-0.140126,6.076062
0.050000,1.070280,5.503192,0.873928,0.779282,0.280612,-0.144016,6.074777
0.050000,1.109065,5.494972,0.913575,0.792942,0.273199,-0.148255,6.073996
0.050000,1.148496,5.486594,0.953886,0.806220,0.265562,-0.152741,6.073755
0.050000,1.188557,5.478085,0.994841,0.819104,0.257683,-0.157574,6.074096
0.050000,1.229235,5.469472,1.036421,0.831581,0.249546,-0.162739,6.075059
0.050000,1.270513,5.460787,1.078602,0.843638,0.241136,-0.168202,6.076685
