dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.172771,5.141529,0.000058,0.002337,0.046734,0.934673,6.212735
0.050000,0.172771,5.141529,0.000292,0.007010,0.093467,0.934673,6.212661
0.050000,0.172771,5.141529,0.000818,0.014020,0.140201,0.934673,6.212495
0.050000,0.172771,5.141529,0.001753,0.023367,0.186935,0.934673,6.212200
0.050000,0.173550,5.141473,0.003213,0.035050,0.233668,0.934673,6.211740
0.050000,0.175648,5.141322,0.005316,0.049070,0.280402,0.934673,6.211079
0.050000,0.178503,5.141115,0.008178,0.065427,0.327135,0.934673,6.210181
0.050000,0.182231,5.140840,0.011917,0.084121,0.373869,0.934673,6.209012
0.050000,0.186891,5.140490,0.016590,0.102814,0.373869,0.000000,6.207559
0.050000,0.192483,5.140062,0.022198,0.121507,0.373869,-0.000000,6.205825
0.050000,0.199006,5.139550,0.028741,0.140201,0.373869,-0.000000,6.203816
0.050000,0.206459,5.138948,0.036219,0.158894,0.373869,0.000000,6.201538
0.050000,0.214842,5.138252,0.044631,0.177588,0.373869,0.000000,6.199000
0.050000,0.224155,5.137453,0.053977,0.196281,0.373869,-0.000000,6.196208
0.050000,0.234396,5.136544,0.064259,0.214975,0.373869,0.000000,6.193174
0.050000,0.245565,5.135517,0.075475,0.233668,0.373869,-0.000000,6.189906
0.050000,0.257661,5.134364,0.087626,0.252362,0.373869,0.000000,6.186417
0.050000,0.270682,5.133076,0.100711,0.271055,0.373869,-0.000000,6.182718
0.050000,0.284629,5.131643,0.114731,0.289749,0.373869,0.000000,6.178824
0.050000,0.299499,5.130054,0.129686,0.308442,0.373869,0.000000,6.174748
0.050000,0.315292,5.128301,0.145575,0.327135,0.373869,-0.000000,6.170506
0.050000,0.332005,5.126373,0.162399,0.345829,0.373869,0.000000,6.166113
0.050000,0.349637,5.124258,0.180158,0.364522,0.373869,0.000000,6.161588
0.050000,0.368187,5.121947,0.198852,0.383216,0.373869,-0.000000,6.156948
0.050000,0.387653,5.119430,0.218480,0.401909,0.373869,0.000000,6.152212
0.050000,0.408033,5.116695,0.239043,0.420603,0.373869,0.000000,6.147402
0.050000,0.429326,5.113733,0.260540,0.439296,0.373869,-0.000000,6.142537
0.050000,0.451529,5.110534,0.282972,0.457990,0.373869,0.000000,6.137640
0.050000,0.474640,5.107088,0.306339,0.476683,0.373869,0.000000,6.132733
0.050000,0.498658,5.103386,0.330640,0.495376,0.373869,0.000000,6.127841
0.050000,0.523580,5.099420,0.355877,0.514070,0.373869,0.000000,6.122987
0.050000,0.549406,5.095183,0.382047,0.532763,0.373869,-0.000000,6.118199
