dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.137575,4.642769,0.000058,0.002337,0.046734,0.934673,6.212735
0.050000,0.137538,4.642772,0.000095,0.000738,-0.031968,-1.574034,6.212661
0.050000,0.137456,4.642778,0.000178,0.001660,0.018443,1.008219,6.212495
0.050000,0.137309,4.642788,0.000326,0.002949,0.025781,0.146756,6.212200
0.050000,0.137858,4.642749,0.000877,0.011015,0.161315,2.710689,6.211740
0.050000,0.139626,4.642622,0.002649,0.035446,0.488615,6.545990,6.211079
0.050000,0.142033,4.642447,0.005062,0.048271,0.256497,-4.642344,6.210181
0.050000,0.145179,4.642215,0.008217,0.063091,0.296398,0.798011,6.209012
0.050000,0.149114,4.641920,0.012164,0.078932,0.316834,0.408729,6.207559
0.050000,0.153842,4.641557,0.016905,0.094820,0.317754,0.018401,6.205825
0.050000,0.159363,4.641124,0.022443,0.110763,0.318866,0.022226,6.203816
0.050000,0.165681,4.640614,0.028781,0.126772,0.320164,0.025957,6.201538
0.050000,0.172799,4.640022,0.035924,0.142854,0.321655,0.029824,6.199000
0.050000,0.180721,4.639343,0.043875,0.159021,0.323334,0.033593,6.196208
0.050000,0.189451,4.638568,0.052639,0.175282,0.325212,0.037544,6.193174
0.050000,0.198993,4.637691,0.062221,0.191646,0.327281,0.041382,6.189906
0.050000,0.209352,4.636704,0.072628,0.208123,0.329549,0.045369,6.186417
0.050000,0.220534,4.635597,0.083864,0.224724,0.332013,0.049273,6.182718
0.050000,0.232543,4.634363,0.095937,0.241458,0.334675,0.053241,6.178824
0.050000,0.245387,4.632991,0.108853,0.258334,0.337535,0.057210,6.174748
0.050000,0.259071,4.631472,0.122622,0.275364,0.340594,0.061180,6.170506
0.050000,0.273602,4.629795,0.137249,0.292556,0.343849,0.065095,6.166113
0.050000,0.288988,4.627950,0.152746,0.309922,0.347302,0.069054,6.161588
0.050000,0.305236,4.625926,0.169119,0.327469,0.350946,0.072891,6.156948
0.050000,0.322354,4.623712,0.186379,0.345208,0.354786,0.076786,6.152212
0.050000,0.340350,4.621297,0.204537,0.363149,0.358811,0.080499,6.147402
0.050000,0.359233,4.618670,0.223602,0.381300,0.363026,0.084302,6.142537
0.050000,0.379012,4.615820,0.243585,0.399671,0.367417,0.087823,6.137640
0.050000,0.399697,4.612736,0.264499,0.418271,0.371994,0.091548,6.132733
0.050000,0.421298,4.609407,0.286354,0.437107,0.376735,0.094813,6.127841
0.050000,0.443824,4.605823,0.309164,0.456190,0.381651,0.098317,6.122987
0.050000,0.467286,4.601973,0.332940,0.475527,0.386737,0.101730,6.118199
0.050000,0.491697,4.597849,0.357696,0.495125,0.391972,0.104695,6.113500
0.050000,0.517066,4.593442,0.383446,0.514994,0.397375,0.108056,6.108919
0.050000,0.543408,4.588744,0.410203,0.535140,0.402929,0.111077,6.104484
0.050000,0.570733,4.583747,0.437982,0.555572,0.408637,0.114157,6.100222
0.050000,0.599056,4.578446,0.466796,0.576297,0.414490,0.117060,6.096163
0.050000,0.628391,4.572836,0.496663,0.597322,0.420503,0.120268,6.092338
0.050000,0.658751,4.566913,0.527595,0.618655,0.426665,0.123243,6.088776
0.050000,0.690153,4.560676,0.559611,0.640304,0.432977,0.126247,6.085510
0.050000,0.722612,4.554123,0.592724,0.662277,0.439461,0.129668,6.082572
0.050000,0.756146,4.547258,0.626954,0.684582,0.446101,0.132814,6.079995
0.050000,0.790771,4.540083,0.662315,0.707228,0.452924,0.136448,6.077814
0.050000,0.826509,4.532605,0.698826,0.730225,0.459927,0.140060,6.076062
0.050000,0.863377,4.524831,0.736505,0.753581,0.467129,0.144042,6.074777
0.050000,0.901398,4.516773,0.775371,0.777308,0.474540,0.148220,6.073996
0.050000,0.940594,4.508445,0.815441,0.801417,0.482177,0.152743,6.073755
0.050000,0.980988,4.499864,0.856737,0.825920,0.490055,0.157558,6.074096
0.050000,1.022607,4.491052,0.899279,0.850829,0.498190,0.162702,6.075059
0.050000,1.065477,4.482032,0.943087,0.876159,0.506600,0.168205,6.076685
0.050000,1.109625,4.472835,0.988183,0.901924,0.515299,0.173962,6.079018
0.050000,1.155082,4.463494,1.034590,0.928139,0.524300,0.180036,6.082103
0.050000,1.201879,4.454046,1.082331,0.954820,0.533615,0.186291,6.085987
0.050000,1.250048,4.444538,1.131430,0.981982,0.543245,0.192597,6.090718
0.050000,1.299625,4.435018,1.181912,1.009642,0.553187,0.198855,6.096346
0.050000,1.350643,4.425543,1.233803,1.037813,0.563434,0.204935,6.102922
0.050000,1.403140,4.416178,1.287128,1.066511,0.573954,0.210387,6.110498
0.050000,1.457152,4.406993,1.341916,1.095745,0.584688,0.214697,6.119128
0.050000,1.512716,4.398068,1.398192,1.125525,0.595601,0.218248,6.128867
0.050000,1.569869,4.389492,1.455985,1.155854,0.606565,0.219293,6.139770
0.050000,1.628645,4.381363,1.515321,1.186727,0.617471,0.218103,6.151890
0.050000,1.689079,4.373789,1.576228,1.218134,0.628144,0.213467,6.165283
0.050000,1.751200,4.366888,1.638730,1.250053,0.638376,0.204634,6.179998
0.050000,1.815032,4.360792,1.702853,1.282448,0.647892,0.190323,6.196083
0.050000,1.880593,4.355639,1.768616,1.315267,0.656382,0.169800,6.213582
0.050000,1.947893,4.351581,1.836038,1.348440,0.663456,0.141486,6.232528
