dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.119274,8.108778,0.000062,0.002487,0.049742,0.994844,0.000877
0.050000,0.119313,8.108778,0.000101,0.000786,-0.034024,-1.675331,0.000798
0.050000,0.119402,8.108778,0.000190,0.001768,0.019638,1.073247,0.000621
0.050000,0.119559,8.108778,0.000347,0.003141,0.027467,0.156586,0.000307
0.050000,0.120313,8.108778,0.001101,0.015086,0.238897,4.228585,6.283022
0.050000,0.122616,8.108777,0.003404,0.046064,0.619562,7.613318,6.282395
0.050000,0.125495,8.108773,0.006283,0.057570,0.230118,-7.788887,6.281612
0.050000,0.128948,8.108766,0.009736,0.069068,0.229956,-0.003240,6.280674
0.050000,0.132976,8.108754,0.013764,0.080557,0.229786,-0.003408,6.279582
0.050000,0.137578,8.108735,0.018366,0.092038,0.229616,-0.003401,6.278337
0.050000,0.142753,8.108706,0.023541,0.103504,0.229324,-0.005832,6.276940
0.050000,0.148501,8.108665,0.029289,0.114960,0.229124,-0.004000,6.275393
0.050000,0.154820,8.108611,0.035609,0.126400,0.228791,-0.006665,6.273696
0.050000,0.161711,8.108539,0.042500,0.137823,0.228467,-0.006466,6.271852
0.050000,0.169172,8.108447,0.049962,0.149229,0.228114,-0.007071,6.269862
0.050000,0.177202,8.108332,0.057993,0.160616,0.227740,-0.007483,6.267728
0.050000,0.185800,8.108189,0.066592,0.171980,0.227279,-0.009223,6.265453
0.050000,0.194964,8.108015,0.075758,0.183321,0.226834,-0.008895,6.263038
0.050000,0.204694,8.107807,0.085490,0.194639,0.226351,-0.009665,6.260487
0.050000,0.214987,8.107559,0.095786,0.205930,0.225814,-0.010743,6.257801
0.050000,0.225843,8.107268,0.106646,0.217192,0.225240,-0.011475,6.254984
0.050000,0.237259,8.106929,0.118067,0.228422,0.224610,-0.012604,6.252038
0.050000,0.249234,8.106538,0.130048,0.239623,0.224013,-0.011934,6.248968
0.050000,0.261765,8.106089,0.142587,0.250787,0.223291,-0.014431,6.245776
