dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.119712,7.608778,0.000062,0.002487,0.049742,0.994844,0.000877
0.050000,0.119712,7.608778,0.000311,0.007461,0.099484,0.994844,0.000798
0.050000,0.119712,7.608778,0.000870,0.014923,0.149227,0.994844,0.000621
0.050000,0.119712,7.608778,0.001865,0.024871,0.198969,0.994844,0.000307
0.050000,0.120231,7.608778,0.003358,0.034820,0.198969,-0.000000,6.283022
0.050000,0.122221,7.608777,0.005347,0.044768,0.198969,-0.000000,6.282395
0.050000,0.124708,7.608774,0.007834,0.054716,0.198969,0.000000,6.281612
0.050000,0.127692,7.608768,0.010819,0.064665,0.198969,0.000000,6.280674
0.050000,0.131174,7.608757,0.014301,0.074613,0.198969,0.000000,6.279582
0.050000,0.135154,7.608740,0.018280,0.084562,0.198969,0.000000,6.278337
0.050000,0.139630,7.608716,0.022757,0.094510,0.198969,0.000000,6.276940
0.050000,0.144604,7.608681,0.027731,0.104459,0.198969,-0.000000,6.275393
0.050000,0.150076,7.608633,0.033203,0.114407,0.198969,0.000000,6.273696
0.050000,0.156045,7.608571,0.039172,0.124355,0.198969,-0.000000,6.271852
0.050000,0.162511,7.608492,0.045638,0.134304,0.198969,0.000000,6.269862
0.050000,0.169474,7.608391,0.052602,0.144252,0.198969,-0.000000,6.267728
0.050000,0.176934,7.608267,0.060064,0.154201,0.198969,0.000000,6.265453
0.050000,0.184891,7.608117,0.068022,0.164149,0.198969,-0.000000,6.263038
0.050000,0.193346,7.607936,0.076479,0.174098,0.198969,-0.000000,6.260487
0.050000,0.202297,7.607720,0.085432,0.184046,0.198969,0.000000,6.257801
0.050000,0.211744,7.607467,0.094883,0.193995,0.198969,0.000000,6.254984
0.050000,0.221688,7.607172,0.104832,0.203943,0.198969,-0.000000,6.252038
0.050000,0.232129,7.606831,0.115278,0.213891,0.198969,0.000000,6.248968
0.050000,0.243065,7.606439,0.126221,0.223840,0.198969,0.000000,6.245776
0.050000,0.254497,7.605992,0.137661,0.233788,0.198969,0.000000,6.242465
0.050000,0.266424,7.605485,0.149600,0.243737,0.198969,0.000000,6.239041
0.050000,0.278847,7.604915,0.162035,0.253685,0.198969,0.000000,6.235506
0.050000,0.291764,7.604275,0.174968,0.263634,0.198969,-0.000000,6.231866
0.050000,0.305175,7.603561,0.188399,0.273582,0.198969,0.000000,6.228124
0.050000,0.319080,7.602767,0.202326,0.283530,0.198969,-0.000000,6.224285
0.050000,0.333479,7.601890,0.216752,0.293479,0.198969,0.000000,6.220354
0.050000,0.348370,7.600923,0.231674,0.303427,0.198969,0.000000,6.216336
0.050000,0.363754,7.599861,0.247094,0.313376,0.198969,0.000000,6.212237
0.050000,0.379629,7.598700,0.263012,0.323324,0.198969,0.000000,6.208062
0.050000,0.395995,7.597433,0.279427,0.333273,0.198969,0.000000,6.203816
0.050000,0.412851,7.596056,0.296339,0.343221,0.198969,-0.000000,6.199506
0.050000,0.430196,7.594562,0.313749,0.353170,0.198969,0.000000,6.195138
0.050000,0.448031,7.592948,0.331656,0.363118,0.198969,0.000000,6.190719
0.050000,0.466353,7.591208,0.350061,0.373066,0.198969,0.000000,6.186254
0.050000,0.485162,7.589336,0.368963,0.383015,0.198969,0.000000,6.181751
0.050000,0.504457,7.587328,0.388362,0.392963,0.198969,0.000000,6.177217
0.050000,0.524237,7.585178,0.408259,0.402912,0.198969,0.000000,6.172658
0.050000,0.544502,7.582882,0.428653,0.412860,0.198969,-0.000000,6.168083
0.050000,0.565250,7.580435,0.449545,0.422809,0.198969,0.000000,6.163499
0.050000,0.586480,7.577832,0.470934,0.432757,0.198969,-0.000000,6.158914
0.050000,0.608192,7.575069,0.492821,0.442705,0.198969,0.000000,6.154336
0.050000,0.630383,7.572142,0.515205,0.452654,0.198969,0.000000,6.149773
0.050000,0.653054,7.569047,0.538086,0.462602,0.198969,0.000000,6.145233
0.050000,0.676204,7.565780,0.561465,0.472551,0.198969,-0.000000,6.140725
0.050000,0.699830,7.562337,0.585341,0.482499,0.198969,0.000000,6.136257
0.050000,0.723933,7.558715,0.609715,0.492448,0.198969,0.000000,6.131839
0.050000,0.748512,7.554911,0.634586,0.502396,0.198969,0.000000,6.127480
0.050000,0.773565,7.550923,0.659954,0.512344,0.198969,0.000000,6.123188
0.050000,0.799092,7.546748,0.685820,0.522293,0.198969,-0.000000,6.118973
0.050000,0.825091,7.542384,0.712184,0.532241,0.198969,0.000000,6.114844
0.050000,0.851563,7.537830,0.739044,0.542190,0.198969,0.000000,6.110811
0.050000,0.878507,7.533084,0.766403,0.552138,0.198969,-0.000000,6.106884
0.050000,0.905921,7.528146,0.794258,0.562087,0.198969,0.000000,6.103072
0.050000,0.933806,7.523015,0.822611,0.572035,0.198969,0.000000,6.099386
0.050000,0.962161,7.517691,0.851462,0.581984,0.198969,0.000000,6.095835
0.050000,0.990986,7.512175,0.880810,0.591932,0.198969,-0.000000,6.092430
0.050000,1.020280,7.506468,0.910655,0.601880,0.198969,0.000000,6.089181
0.050000,1.050045,7.500572,0.940998,0.611829,0.198969,-0.000000,6.086099
0.050000,1.080279,7.494489,0.971838,0.621777,0.198969,0.000000,6.083194
0.050000,1.110983,7.488221,1.003175,0.631726,0.198969,0.000000,6.080477
0.050000,1.142158,7.481772,1.035010,0.641674,0.198969,-0.000000,6.077958
0.050000,1.173804,7.475146,1.067343,0.651623,0.198969,0.000000,6.075650
0.050000,1.205923,7.468347,1.100173,0.661571,0.198969,-0.000000,6.073563
0.050000,1.238514,7.461381,1.133500,0.671519,0.198969,0.000000,6.071709
0.050000,1.271579,7.454254,1.167325,0.681468,0.198969,-0.000000,6.070098
0.050000,1.305120,7.446972,1.201647,0.691416,0.198969,0.000000,6.068744
0.050000,1.339137,7.439543,1.236466,0.701365,0.198969,0.000000,6.067658
0.050000,1.373634,7.431975,1.271783,0.711313,0.198969,0.000000,6.066851
0.050000,1.408611,7.424278,1.307598,0.721262,0.198969,0.000000,6.066337
0.050000,1.444072,7.416460,1.343909,0.731210,0.198969,-0.000000,6.066128
0.050000,1.480018,7.408534,1.380719,0.741159,0.198969,0.000000,6.066237
0.050000,1.516451,7.400511,1.418025,0.751107,0.198969,-0.000000,6.066677
0.050000,1.553376,7.392403,1.455829,0.761055,0.198969,0.000000,6.067462
0.050000,1.590794,7.384225,1.494131,0.771004,0.198969,-0.000000,6.068604
0.050000,1.628709,7.375991,1.532930,0.780952,0.198969,0.000000,6.070119
0.050000,1.667124,7.367717,1.572226,0.790901,0.198969,0.000000,6.072020
0.050000,1.706043,7.359420,1.612020,0.800849,0.198969,-0.000000,6.074321
0.050000,1.745470,7.351117,1.652311,0.810798,0.198969,0.000000,6.077039
0.050000,1.785408,7.342830,1.693100,0.820746,0.198969,0.000000,6.080187
0.050000,1.825860,7.334578,1.734386,0.830694,0.198969,0.000000,6.083781
0.050000,1.866832,7.326383,1.776169,0.840643,0.198969,-0.000000,6.087837
0.050000,1.908327,7.318268,1.818450,0.850591,0.198969,0.000000,6.092371
0.050000,1.950349,7.310259,1.861228,0.860540,0.198969,-0.000000,6.097398
0.050000,1.992902,7.302381,1.904504,0.870488,0.198969,0.000000,6.102936
0.050000,2.035989,7.294663,1.948277,0.880437,0.198969,0.000000,6.108999
0.050000,2.079614,7.287133,1.992548,0.890385,0.198969,-0.000000,6.115606
0.050000,2.123781,7.279822,2.037315,0.900334,0.198969,0.000000,6.122771
0.050000,2.168492,7.272763,2.082581,0.910282,0.198969,-0.000000,6.130511
0.050000,2.213751,7.265990,2.128344,0.920230,0.198969,0.000000,6.138841
0.050000,2.259559,7.259538,2.174604,0.930179,0.198969,-0.000000,6.147777
0.050000,2.305918,7.253446,2.221362,0.940127,0.198969,0.000000,6.157334
0.050000,2.352828,7.247751,2.268617,0.950076,0.198969,0.000000,6.167525
0.050000,2.400291,7.242496,2.316369,0.960024,0.198969,0.000000,6.178364
0.050000,2.448303,7.237721,2.364619,0.969973,0.198969,0.000000,6.189861
0.050000,2.496865,7.233471,2.413366,0.979921,0.198969,-0.000000,6.202026
0.050000,2.545910,7.229796,2.462549,0.987382,0.149227,-0.994844,6.214851
0.050000,2.595309,7.226747,2.512042,0.992357,0.099484,-0.994844,6.228305
0.050000,2.644931,7.224368,2.561722,0.994844,0.049742,-0.994844,6.242349
0.050000,2.694644,7.222698,2.611463,0.994792,-0.001026,-1.015363,6.256937
0.050000,2.744311,7.221766,2.661140,0.992254,-0.050768,-0.994844,6.272014
0.050000,2.793797,7.221595,2.710627,0.987228,-0.100510,-0.994844,0.004332
0.050000,2.842966,7.222196,2.759800,0.979716,-0.150252,-0.994844,0.020196
0.050000,2.891683,7.223572,2.808537,0.969767,-0.198969,-0.974325,0.036345
0.050000,2.937566,7.225321,2.856777,0.959819,-0.198969,0.000000,0.034860
0.050000,2.985286,7.226785,2.904519,0.949871,-0.198969,-0.000000,0.026651
