dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.120150,7.108778,0.000062,0.002487,0.049742,0.994844,0.000877
0.050000,0.120111,7.108778,0.000101,0.000786,-0.034024,-1.675331,0.000798
0.050000,0.120023,7.108778,0.000190,0.001768,0.019638,1.073247,0.000621
0.050000,0.119866,7.108778,0.000347,0.003141,0.027467,0.156586,0.000307
0.050000,0.120149,7.108778,0.000630,0.005670,0.050575,0.462162,6.283022
0.050000,0.121825,7.108777,0.002307,0.033523,0.557063,10.129748,6.282395
0.050000,0.123921,7.108775,0.004402,0.041915,0.167837,-7.784519,6.281612
0.050000,0.126437,7.108769,0.006918,0.050313,0.167966,0.002586,6.280674
0.050000,0.129373,7.108760,0.009854,0.058720,0.168140,0.003478,6.279582
0.050000,0.132730,7.108746,0.013211,0.067138,0.168366,0.004513,6.278337
0.050000,0.136508,7.108725,0.016989,0.075566,0.168555,0.003784,6.276940
0.050000,0.140708,7.108696,0.021190,0.084009,0.168864,0.006184,6.275393
0.050000,0.145331,7.108656,0.025813,0.092466,0.169130,0.005321,6.273696
0.050000,0.150378,7.108603,0.030860,0.100939,0.169459,0.006569,6.271852
0.050000,0.155849,7.108536,0.036331,0.109430,0.169821,0.007253,6.269862
0.050000,0.161746,7.108451,0.042228,0.117941,0.170226,0.008104,6.267728
0.050000,0.168068,7.108346,0.048552,0.126473,0.170627,0.008003,6.265453
0.050000,0.174819,7.108218,0.055304,0.135028,0.171099,0.009447,6.263038
0.050000,0.181997,7.108064,0.062484,0.143608,0.171605,0.010111,6.260487
0.050000,0.189606,7.107881,0.070095,0.152214,0.172133,0.010574,6.257801
0.050000,0.197645,7.107666,0.078137,0.160849,0.172699,0.011318,6.254984
0.050000,0.206117,7.107414,0.086613,0.169514,0.173289,0.011794,6.252038
0.050000,0.215023,7.107123,0.095523,0.178212,0.173970,0.013632,6.248968
0.050000,0.224364,7.106789,0.104871,0.186944,0.174628,0.013144,6.245776
0.050000,0.234142,7.106406,0.114656,0.195712,0.175358,0.014609,6.242465
0.050000,0.244359,7.105973,0.124882,0.204518,0.176122,0.015268,6.239041
0.050000,0.255016,7.105483,0.135550,0.213365,0.176937,0.016309,6.235506
0.050000,0.266115,7.104933,0.146663,0.222253,0.177776,0.016778,6.231866
0.050000,0.277658,7.104318,0.158222,0.231187,0.178674,0.017962,6.228124
0.050000,0.289647,7.103635,0.170231,0.240167,0.179599,0.018504,6.224285
0.050000,0.302084,7.102877,0.182690,0.249196,0.180577,0.019565,6.220354
0.050000,0.314970,7.102040,0.195604,0.258276,0.181593,0.020322,6.216336
0.050000,0.328309,7.101119,0.208975,0.267409,0.182669,0.021507,6.212237
0.050000,0.342102,7.100110,0.222805,0.276597,0.183757,0.021768,6.208062
0.050000,0.356352,7.099007,0.237097,0.285843,0.184922,0.023289,6.203816
0.050000,0.371060,7.097805,0.251854,0.295148,0.186108,0.023719,6.199506
0.050000,0.386230,7.096499,0.267080,0.304516,0.187345,0.024743,6.195138
0.050000,0.401863,7.095084,0.282777,0.313947,0.188628,0.025671,6.190719
0.050000,0.417963,7.093555,0.298949,0.323444,0.189941,0.026246,6.186254
0.050000,0.434532,7.091906,0.315600,0.333010,0.191316,0.027504,6.181751
0.050000,0.451572,7.090132,0.332732,0.342645,0.192714,0.027952,6.177217
0.050000,0.469086,7.088229,0.350350,0.352354,0.194161,0.028953,6.172658
0.050000,0.487078,7.086190,0.368457,0.362136,0.195647,0.029710,6.168083
0.050000,0.505550,7.084012,0.387056,0.371995,0.197174,0.030550,6.163499
0.050000,0.524504,7.081688,0.406153,0.381931,0.198734,0.031192,6.158914
0.050000,0.543945,7.079214,0.425750,0.391948,0.200337,0.032056,6.154336
0.050000,0.563875,7.076585,0.445853,0.402047,0.201971,0.032690,6.149773
0.050000,0.584297,7.073797,0.466464,0.412229,0.203643,0.033435,6.145233
0.050000,0.605214,7.070845,0.487589,0.422496,0.205348,0.034107,6.140725
0.050000,0.626630,7.067724,0.509231,0.432851,0.207086,0.034753,6.136257
0.050000,0.648549,7.064430,0.531396,0.443293,0.208856,0.035411,6.131839
0.050000,0.670973,7.060960,0.554087,0.453826,0.210657,0.036016,6.127480
0.050000,0.693907,7.057309,0.577310,0.464451,0.212487,0.036596,6.123188
0.050000,0.717354,7.053474,0.601068,0.475168,0.214346,0.037187,6.118973
0.050000,0.741318,7.049452,0.625367,0.485980,0.216235,0.037777,6.114844
0.050000,0.765802,7.045240,0.650212,0.496887,0.218149,0.038284,6.110811
0.050000,0.790812,7.040834,0.675606,0.507892,0.220092,0.038863,6.106884
0.050000,0.816351,7.036234,0.701556,0.518995,0.222057,0.039292,6.103072
0.050000,0.842423,7.031437,0.728066,0.530197,0.224054,0.039948,6.099386
0.050000,0.869033,7.026440,0.755141,0.541501,0.226072,0.040342,6.095835
0.050000,0.896186,7.021245,0.782786,0.552907,0.228119,0.040955,6.092430
0.050000,0.923886,7.015848,0.811007,0.564416,0.230192,0.041457,6.089181
